date,season,seasnum,april,june,august,october,stream,streamnum,bear,cave,falling,sylamore,tomahawk,water,reach,richness,all,streamtype
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,1,5,0.674139051,1
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,2,14,0.550395597,1
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,3,8,0.324227659,1
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,4,10,0.896514175,1
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,5,5,0.437317784,1
37724,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,6,12,1.22605364,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,1,7,0.656287832,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,2,10,1.62228154,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,3,12,0.569306931,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,4,11,1.110871441,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,5,9,1.013517794,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,6,9,1.160421649,1
37781,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,7,7,1.113594798,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,1,8,1.383719048,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,2,14,1.628101644,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,3,11,0.905334335,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,4,7,1.697198276,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,5,12,1.24470339,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,6,8,1.449983708,1
37845,August,8,0,0,1,0,Bear,1,1,0,0,0,0,0,7,14,3.489528102,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,1,6,1.91682911,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,2,13,2.503312451,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,3,11,1.541521227,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,4,8,4.396758703,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,5,9,1.70622334,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,6,10,3.292377431,1
37891,October,10,0,0,0,1,Bear,1,1,0,0,0,0,0,7,14,7.799025122,1
37719,April,4,1,0,0,0,Cave,2,0,1,0,0,0,0,1,9,3.189368771,1
37719,April,4,1,0,0,0,Cave,2,0,1,0,0,0,0,2,10,0.442837733,1
37719,April,4,1,0,0,0,Cave,2,0,1,0,0,0,0,3,7,0.661531224,1
37719,April,4,1,0,0,0,Cave,2,0,1,0,0,0,0,4,7,0.637877104,1
37719,April,4,1,0,0,0,Cave,2,0,1,0,0,0,0,5,8,0.967365967,1
37782,June,6,0,1,0,0,Cave,2,0,1,0,0,0,0,1,9,1.621958353,1
37782,June,6,0,1,0,0,Cave,2,0,1,0,0,0,0,2,9,0.402713774,1
37782,June,6,0,1,0,0,Cave,2,0,1,0,0,0,0,3,8,1.35945163,1
37782,June,6,0,1,0,0,Cave,2,0,1,0,0,0,0,4,9,1.139148589,1
37782,June,6,0,1,0,0,Cave,2,0,1,0,0,0,0,5,7,0.806409566,1
37844,August,8,0,0,1,0,Cave,2,0,1,0,0,0,0,1,10,2.649396526,1
37844,August,8,0,0,1,0,Cave,2,0,1,0,0,0,0,2,10,0.659013605,1
37844,August,8,0,0,1,0,Cave,2,0,1,0,0,0,0,3,11,1.362086824,1
37844,August,8,0,0,1,0,Cave,2,0,1,0,0,0,0,4,8,0.709402149,1
37844,August,8,0,0,1,0,Cave,2,0,1,0,0,0,0,5,8,1.027010024,1
37898,October,10,0,0,0,1,Cave,2,0,1,0,0,0,0,1,10,1.733986128,1
37898,October,10,0,0,0,1,Cave,2,0,1,0,0,0,0,2,5,1.532746823,1
37898,October,10,0,0,0,1,Cave,2,0,1,0,0,0,0,3,10,2.36003861,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,1,6,0.732018814,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,2,6,0.335490055,1
