DATE,SEASON,SEASNUM,STREAM,STREAMNUM,STREAMTYPE,REACH,HABITAT,V_NAME_,V_LABEL_,ALL,CRC,CSR,DSS,GSD,LES,NHS,OTD,OZM,RBD,SLM,WTS,BDS,GSF,HHC,SMB,SRD,STD,AMM,OZB,BTM,FTD,NSF,TSS,RH,BLG,BES,CKM,TEMP,DO,PH,SPC,LENGTH,COVER,AREA,WIDTH,CANOPY,DEPTH,VELOCITY,SUBSTRATE,VOLUME,TOTDENVOL,COVERASN,CANOPYASN,TOTDENAREA,TOTDNARLOG,TOTNUMLOG,VOLLOG,TOTDENVOLLOG,RICHNESS,VELOCITYLOG,DEPTHLOG,SUBSTRATELOG,CSRDNVOL,CSRDNVOLLOG,CANOPYLOG,COVERLOG,OTDRBD,OTDRBDDEN,OTDRBDDNLOG
37718,April,4,Falling,3,1,1,Run,PopEst,PopEst,94,1,17,34,24,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,26.1,25,128.412,4.92,50,17,15.86666667,5.266666667,21.83004,4.305993026,14.48485539,30.01521644,0.732018814,0.238552605,1.973127854,1.339054531,0.724766675,6,1.227029262,1.255272505,0.797036595,0.77874342,0.250113306,1.698970004,1.397940009,9,0.412275928,0.149919557
37718,April,4,Falling,3,1,2,Riffle,PopEst,PopEst,42,1,22,0,1,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,11.7,60,125.19,10.7,106.6666667,11.33333333,8.555555556,4.444444444,14.1882,2.960206369,36.88859859,,0.335490055,0.125640658,1.62324929,1.151927302,0.597717818,6,0.980255942,1.091080469,0.735953571,1.550584288,0.40663968,2.028028724,1.77815125,8,0.563848832,0.19419477
37718,April,4,Falling,3,1,3,Pool,PopEst,PopEst,88,3,43,14,1,0,4,0,2,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,42,15,359.4,8.557142857,49.28571429,46.57142857,3.761904762,5.523809524,167.3777143,0.525756971,8.631302261,29.54352422,0.244852532,0.095117907,1.944482672,2.223697633,0.183485363,9,0.677780705,1.677346193,0.814501272,0.256903974,0.099302099,1.692721055,1.176091259,2,0.011949022,0.005158635
37718,April,4,Falling,3,1,4,Riffle,PopEst,PopEst,156,20,67,1,7,0,0,16,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,67.6,80,535.392,7.92,64,15.13333333,12.43333333,4.166666667,81.022656,1.925387388,53.15705071,39.81200249,0.291375291,0.111052473,2.193124598,1.908606476,0.466183385,7,1.128183791,1.207724107,0.713210443,0.826929199,0.261721717,1.806179974,1.903089987,32,0.394951259,0.144559033
37718,April,4,Falling,3,1,5,Pool,PopEst,PopEst,25,0,11,2,2,1,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,22.3,8,193.118,8.66,83,47.2,1.266666667,5.2,91.151696,0.274268073,4.590893123,56.1271921,0.12945453,0.052868752,1.397940009,1.959764754,0.105260802,7,0.355387658,1.683047038,0.792391689,0.120677952,0.049480828,1.919078092,0.903089987,1,0.010970723,0.004738579
37718,April,4,Falling,3,1,6,Run,PopEst,PopEst,47,0,32,21,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,23.8,15,123.165,5.175,90,27.83333333,4.416666667,4.75,34.280925,1.371024848,8.631302261,64.19060914,0.381601916,0.140382927,1.672097858,1.535052532,0.374936105,5,0.733732111,1.459894853,0.759667845,0.933463727,0.286336029,1.954242509,1.176091259,2,0.058341483,0.024625819
37718,April,4,Falling,3,1,7,Riffle,PopEst,PopEst,44,1,19,0,1,1,0,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.585,0.91,6.17,15.35,20.8,75,185.64,8.925,67.5,14.91666667,14,4.5,27.6913,1.588946709,48.61502364,42.47568357,0.237017884,0.092375978,1.643452676,1.442343345,0.413123111,7,1.176091259,1.201852121,0.740362689,0.686136079,0.226892621,1.829303773,1.875061263,16,0.577798803,0.198051622
37719,April,4,Cave,2,1,1,Run,PopEst,PopEst,848,77,395,8,0,0,3,0,0,18,8,0,0,0,4,0,237,3,0,0,0,0,0,0,0,0,0,0,9.005,0.985,6.615,47.9,26.5,65,265.8833333,10.03333333,50.83333333,30.72222222,0.888888889,3.833333333,81.68526852,10.38130884,40.56216516,30.56837441,3.189368771,0.622148591,2.928395852,1.912143741,1.056192208,9,0.276206412,1.501363603,0.684246748,4.835633244,0.76608799,1.706148589,1.812913357,18,0.220357971,0.086487242
37719,April,4,Cave,2,1,2,Riffle,PopEst,PopEst,507,15,217,0,0,0,1,112,0,14,6,0,3,0,1,0,138,6,0,0,0,0,0,0,0,0,0,0,9.005,0.985,6.615,47.9,112,75,1144.888889,10.22222222,48.88888889,14.62962963,8.074074074,4.333333333,167.4930041,3.026992098,48.61502364,29.28242254,0.442837733,0.159217491,2.705007959,2.223996672,0.604980777,10,0.95780232,1.193948687,0.726998728,1.2955765,0.36089177,1.689210167,1.875061263,126,0.752270226,0.243601082
37719,April,4,Cave,2,1,3,Pool,PopEst,PopEst,225,25,101,0,0,0,0,4,0,0,0,0,0,2,2,2,87,0,0,0,0,0,0,0,0,0,0,0,9.005,0.985,6.615,47.9,30.8,15,340.12,11.04285714,73.57142857,80.23809524,0.095238095,4.714285714,272.9058095,0.82446028,8.631302261,47.39163236,0.661531224,0.220508507,2.352182518,2.436012781,0.261134413,7,0.039508541,1.909759732,0.756961951,0.370091059,0.136749432,1.866709189,1.176091259,4,0.014657072,0.006319287
