date	season	seasnum	stream	streamnum	streamtype	reach	vname	vlabel	all	temp	do	ph	spc	length	cover	area	width	canopy	depth	velocity	substrate	volume	totdenvol	totdenarea
4/13/2003	April	4.00	Bear	1.00	1.00	1.00	PopEst	PopEst	83.00	17.58	0.81	6.55	32.90	15.20	20.00	123.12	8.10	58.33	21.33	8.33	4.44	26.27	3.16	0.67
4/13/2003	April	4.00	Bear	1.00	1.00	2.00	PopEst	PopEst	152.00	17.58	0.81	6.55	32.90	36.10	10.00	276.17	7.65	60.83	38.33	3.56	5.28	105.86	1.44	0.55
4/13/2003	April	4.00	Bear	1.00	1.00	3.00	PopEst	PopEst	139.00	17.58	0.81	6.55	32.90	53.00	60.00	428.71	8.09	43.89	20.11	10.11	4.33	86.22	1.61	0.32
4/13/2003	April	4.00	Bear	1.00	1.00	4.00	PopEst	PopEst	207.00	17.58	0.81	6.55	32.90	38.30	40.00	230.89	6.03	45.71	34.67	6.05	4.33	80.04	2.59	0.90
4/13/2003	April	4.00	Bear	1.00	1.00	5.00	PopEst	PopEst	48.00	17.58	0.81	6.55	32.90	22.40	1.00	109.76	4.90	43.75	17.25	22.83	5.75	18.93	2.54	0.44
4/13/2003	April	4.00	Bear	1.00	1.00	6.00	PopEst	PopEst	176.00	17.58	0.81	6.55	32.90	19.80	25.00	143.55	7.25	58.75	31.50	2.08	4.58	45.22	3.89	1.23
6/9/2003	June	6.00	Bear	1.00	1.00	1.00	PopEst	PopEst	103.00	19.34	0.52	6.87	34.13	19.70	15.00	156.94	7.97	51.67	20.22	5.56	4.67	31.74	3.25	0.66
6/9/2003	June	6.00	Bear	1.00	1.00	2.00	PopEst	PopEst	448.00	19.33	0.55	6.85	34.27	36.20	15.00	276.15	7.63	42.86	29.00	3.52	5.00	80.08	5.59	1.62
6/9/2003	June	6.00	Bear	1.00	1.00	3.00	PopEst	PopEst	230.00	19.30	0.59	6.85	34.20	50.00	30.00	404.00	8.08	33.00	20.57	14.07	4.87	83.09	2.77	0.57
6/9/2003	June	6.00	Bear	1.00	1.00	4.00	PopEst	PopEst	103.00	19.32	0.63	6.83	34.27	15.20	5.00	92.72	6.10	55.00	33.56	1.44	4.89	31.11	3.31	1.11
6/9/2003	June	6.00	Bear	1.00	1.00	5.00	PopEst	PopEst	160.00	19.32	0.63	6.83	34.27	24.90	10.00	157.87	6.34	32.00	25.00	8.40	4.13	39.47	4.05	1.01
6/9/2003	June	6.00	Bear	1.00	1.00	6.00	PopEst	PopEst	131.00	19.36	0.66	6.80	34.37	21.30	20.00	112.89	5.30	47.50	23.00	19.50	5.58	25.96	5.05	1.16
6/9/2003	June	6.00	Bear	1.00	1.00	7.00	PopEst	PopEst	137.00	19.41	0.68	6.74	34.03	18.50	20.00	123.03	6.65	47.50	25.92	5.83	5.00	31.88	4.30	1.11
8/12/2003	August	8.00	Bear	1.00	1.00	1.00	PopEst	PopEst	114.00					16.70	30.00	82.39	4.93	53.33	9.67	1.44	4.56	7.96	14.31	1.38
8/12/2003	August	8.00	Bear	1.00	1.00	2.00	PopEst	PopEst	389.00					37.50	30.00	238.93	6.37	38.57	23.62	0.48	4.90	56.43	6.89	1.63
8/12/2003	August	8.00	Bear	1.00	1.00	3.00	PopEst	PopEst	241.00					49.50	40.00	266.20	5.38	40.56	11.85	3.96	4.56	31.55	7.64	0.91
8/12/2003	August	8.00	Bear	1.00	1.00	4.00	PopEst	PopEst	105.00					16.00	20.00	61.87	3.87	55.00	25.33	0.89	4.89	15.67	6.70	1.70
8/12/2003	August	8.00	Bear	1.00	1.00	5.00	PopEst	PopEst	141.00					23.60	30.00	113.28	4.80	21.25	14.50	3.25	4.33	16.43	8.58	1.24
8/12/2003	August	8.00	Bear	1.00	1.00	6.00	PopEst	PopEst	89.00					19.80	5.00	61.38	3.10	40.00	12.42	2.83	5.17	7.62	11.68	1.45
8/12/2003	August	8.00	Bear	1.00	1.00	7.00	PopEst	PopEst	351.00					18.40		100.59	5.47	45.00	23.78	1.22	4.56	23.92	14.68	3.49
9/27/2003	October	10.00	Bear	1.00	1.00	1.00	PopEst	PopEst	118.00					17.10	10.00	61.56	3.60	53.33	7.22	0.67	4.00	4.45	26.54	1.92
9/27/2003	October	10.00	Bear	1.00	1.00	2.00	PopEst	PopEst	556.00					38.20	10.00	222.11	5.81	41.43	22.29	0.00	5.43	49.50	11.23	2.50
9/27/2003	October	10.00	Bear	1.00	1.00	3.00	PopEst	PopEst	211.00					48.50	50.00	136.88	2.82	23.89	7.78	1.52	4.04	10.65	19.82	1.54
9/27/2003	October	10.00	Bear	1.00	1.00	4.00	PopEst	PopEst	293.00					19.60	10.00	66.64	3.40	62.50	15.00	0.08	4.67	10.00	29.31	4.40
9/27/2003	October	10.00	Bear	1.00	1.00	5.00	PopEst	PopEst	156.00					22.30	40.00	91.43	4.10	20.00	10.00	0.58	4.08	9.14	17.06	1.71
9/27/2003	October	10.00	Bear	1.00	1.00	6.00	PopEst	PopEst	138.00					20.20	10.00	41.92	2.08	53.75	7.00	2.08	5.75	2.93	47.03	3.29
9/27/2003	October	10.00	Bear	1.00	1.00	7.00	PopEst	PopEst	468.00					18.90	30.00	60.01	3.18	46.25	20.17	0.17	4.83	12.10	38.67	7.80
4/8/2003	April	4.00	Cave	2.00	1.00	1.00	PopEst	PopEst	848.00	9.01	0.99	6.62	47.90	26.50	65.00	265.88	10.03	50.83	30.72	0.89	3.83	81.69	10.38	3.19
4/8/2003	April	4.00	Cave	2.00	1.00	2.00	PopEst	PopEst	507.00	9.01	0.99	6.62	47.90	112.00	75.00	1144.89	10.22	48.89	14.63	8.07	4.33	167.49	3.03	0.44
4/8/2003	April	4.00	Cave	2.00	1.00	3.00	PopEst	PopEst	225.00	9.01	0.99	6.62	47.90	30.80	15.00	340.12	11.04	73.57	80.24	0.10	4.71	272.91	0.82	0.66
4/8/2003	April	4.00	Cave	2.00	1.00	4.00	PopEst	PopEst	141.00	9.01	0.99	6.62	47.90	38.30	70.00	221.05	5.77	60.00	26.38	7.19	4.62	58.31	2.42	0.64
4/8/2003	April	4.00	Cave	2.00	1.00	5.00	PopEst	PopEst	249.00	9.01	0.99	6.62	47.90	42.90	40.00	257.40	6.00	52.86	24.76	7.14	4.33	63.74	3.91	0.97
6/10/2003	June	6.00	Cave	2.00	1.00	1.00	PopEst	PopEst	427.00	17.37	0.59	7.05	58.93	26.70	10.00	263.26	9.86	36.00	29.13	0.60	4.13	76.70	5.57	1.62
6/10/2003	June	6.00	Cave	2.00	1.00	2.00	PopEst	PopEst	484.00	17.36	0.62	7.07	58.67	112.00	50.00	1201.85	10.73	31.15	20.77	11.46	4.10	249.61	1.94	0.40
6/10/2003	June	6.00	Cave	2.00	1.00	3.00	PopEst	PopEst	395.00	18.43	0.62	7.28	57.50	29.30	10.00	290.56	9.92	21.67	65.78	1.44	4.33	191.12	2.07	1.36
6/10/2003	June	6.00	Cave	2.00	1.00	4.00	PopEst	PopEst	251.00	18.52	0.65	7.46	56.77	41.40	40.00	220.34	5.32	54.44	23.44	7.52	4.33	51.66	4.86	1.14
6/10/2003	June	6.00	Cave	2.00	1.00	5.00	PopEst	PopEst	174.00	18.52	0.70	7.43	56.67	35.30	35.00	215.77	6.11	44.38	25.33	4.75	4.38	54.66	3.18	0.81
8/11/2003	August	8.00	Cave	2.00	1.00	1.00	PopEst	PopEst	540.00					25.80	45.00	203.82	7.90	30.00	15.07	0.00	4.00	30.71	17.58	2.65
8/11/2003	August	8.00	Cave	2.00	1.00	2.00	PopEst	PopEst	372.00					112.00	90.00	564.48	5.04	29.25	5.40	0.60	4.20	30.48	12.20	0.66
8/11/2003	August	8.00	Cave	2.00	1.00	3.00	PopEst	PopEst	387.00					35.90	10.00	284.12	7.91	34.29	45.33	0.00	4.57	128.80	3.00	1.36
8/11/2003	August	8.00	Cave	2.00	1.00	4.00	PopEst	PopEst	69.00					39.70		97.27	2.45	45.00	8.50	1.71	4.25	8.27	8.35	0.71
8/11/2003	August	8.00	Cave	2.00	1.00	5.00	PopEst	PopEst	151.00					40.70		147.03	3.61	38.13	9.13	0.67	3.92	13.42	11.25	1.03
10/4/2003	October	10.00	Cave	2.00	1.00	1.00	PopEst	PopEst	272.00					25.80	15.00	156.86	6.08	37.00	12.67	0.13	3.87	19.87	13.69	1.73
10/4/2003	October	10.00	Cave	2.00	1.00	2.00	PopEst	PopEst	98.00					15.50	50.00	63.94	4.13	30.00	17.42	0.00	4.00	11.14	8.80	1.53
10/4/2003	October	10.00	Cave	2.00	1.00	3.00	PopEst	PopEst	489.00					28.00		207.20	7.40	40.83	34.56	0.00	4.72	71.60	6.83	2.36
4/7/2003	April	4.00	Falling	3.00	1.00	1.00	PopEst	PopEst	94.00	9.59	0.91	6.17	15.35	26.10	25.00	128.41	4.92	50.00	17.00	15.87	5.27	21.83	4.31	0.73
4/7/2003	April	4.00	Falling	3.00	1.00	2.00	PopEst	PopEst	42.00	9.59	0.91	6.17	15.35	11.70	60.00	125.19	10.70	106.67	11.33	8.56	4.44	14.19	2.96	0.34
4/7/2003	April	4.00	Falling	3.00	1.00	3.00	PopEst	PopEst	88.00	9.59	0.91	6.17	15.35	42.00	15.00	359.40	8.56	49.29	46.57	3.76	5.52	167.38	0.53	0.24
4/7/2003	April	4.00	Falling	3.00	1.00	4.00	PopEst	PopEst	156.00	9.59	0.91	6.17	15.35	67.60	80.00	535.39	7.92	64.00	15.13	12.43	4.17	81.02	1.93	0.29
